original_hm,target
I recently got CPR and First Aid certified and I am ecstatic and feel a sense of accomplishment. ,achievement
I felt happy when I felt tired and overwhelmed by the idea of making dinner and then remembered a recent easy recipe that had been emailed to me I had all the ingredients for.,enjoy_the_moment
Watched some entertaining shows which was nice.,leisure
I ate a great lunch ,achievement
I got picked to get a new desk at work. ,achievement
past 3 months ago my sister marriage is successfully completed.,affection
"I went to the store yesterday thinking that I wouldn't be able to pre-order a limited edition item that I'd just heard about the day before that since it was already out of stock online, but I was able to get one of the last three.",achievement
I found a pair of black pants in my size for only $5.,achievement
"I am happy I saved enough money to buy me a car, finally I will be independent! It took me a while to gather te money, but only thinking of my new car makes me happy, I didn't found it yet, my ideal car. It must be economic in consuming, small for parking easy. I really look forward to buy it.",achievement
The day I finally felt healthy because I had begun taking walks three times a week.,exercise
I watched video of an exciting rally.,leisure
I cooked dinner for a long lost friend of mine,bonding
MY BOY FRIEND LOVE FELLINGS ,bonding
I got to go on a date with my husband.,affection
I was able to watch one of my favorite TV shows last night with my wife before bed.,affection
My son had his first lacrosse game three weeks ago.  He scored three goals and his team won 8-2.  He was so excited.,affection
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement",affection
Getting a good morning text from someone I just started dating.,affection
"Have a ""date night"" with my husband.  Since we are both very busy with work and other things in our life, spending quality time one-on-one is few and far between.  We made a date and had a wonderful evening.",affection
I got an unexpected bonus at work,achievement
"When my car started to make an alarmingly loud noise, it ended up being something simple and my mechanic fixed it free of charge. ",achievement
My dinner tasted fantastic.,enjoy_the_moment
Sat and watched a movie with my wife,affection
I was able to see my friend doing what she loves at one of the biggest events in that industry.,bonding
Someone complimented my hair at the mall and she talked about it for so long.,enjoy_the_moment
Going with my best friend to a local concert. ,bonding
I got to have pizza for dinner. ,enjoy_the_moment
I went to play basket ball with my friends after a long time and I was happy.,bonding
"The boba shop close to my apartment gave me a BOGO coupon, which I just used an hour ago.",enjoy_the_moment
I found out I get to cat sit my favorite cat in two weeks.,affection
buying my favorite snack,enjoy_the_moment
I got a raise at work that has enabled me to live a lot more comfortably.,achievement
MY FRINED BIRTHDAY,bonding
Was able to afford movers to get all of our big furniture moved to the new apartment,achievement
I woke up a couple of hours before everyone else in the house and got enjoy some lovely alone time.,enjoy_the_moment
My home-town baseball team won its home opener!,leisure
My daughter has started to walk.,affection
Coming home from work to see my husband who had been on shift for the last 3 days made me extremely happy. ,affection
I got back a jacket that I'd loaned to a friend.,bonding
"I was able to go home early from work and spend some time with my son, and that made me happy. ",affection
I tried making a new recipe.  It was so good!  I liked it and the dish tasted really good.,achievement
Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,achievement
I was looking through some old mail this afternoon and a came across a check for $700! Apparently we has a surplus in our escrow and my husband overlooked the mail and never noticed the check that was attached to the bottom!,achievement
I ate some delicious chocolate cake.,leisure
My previous manager offers me a job while I was actively looking for one.,achievement
I went to see my 10-year old son's choir concert.,affection
I received a good rating on some work that I did for a client.,achievement
Seeing my son learn how to play the game of T-Ball in our front yard.,affection
When my son got excellent grades in his final examination.,affection
I spent time with my girlfriend.,affection
I was able to quit my jobs ahead of my due date. This is liberating because I can now focus on the pregnancy.,achievement
I met a man on the street who randomly pulled out three birds and put them on my arm for me to pet.,enjoy_the_moment
My friend called me to see how I was doing today and her presence was a breath of fresh air.,bonding
"I had the day off so that I could watch my oldest while my wife had a teacher work day, and I spent the day with her hanging out, playing a card game, and talking.",affection
I made plans to go to dinner tomorrow night with a good friend.,bonding
Receiving a credit line increase with 1 of my visa credit cards.,achievement
My son got to play in a big soccer game after being sidelined for a week from medical problems.,affection
"My husband surprised our daughter with a raptor (dinosaur) shirt, necklace, and toy.",affection
My boss recognized my hard thorough hard work today as he told me to keep it up. ,achievement
I had lunch with some friends at work and we had a engaging conversation about our plans for the weekend,bonding
I successfully installed a wifi light switch that will control my outdoor lights via a smartphone app.,achievement
My spouse surprised me with a holiday package and that was a very happy moment.,affection
Few days back i got scholarship. I was waiting for it eagerly and i became very happy when i got the scholarship. M y parents even also praised me.,achievement
I went for a swim in Kealakekua Bay this morning and a pod of dolphins swam by just a few feet away.,enjoy_the_moment
"My spouse surprised me with flowers the other day, I felt so loved and happy. ",affection
I went to movie. This movie was excellent which made me happy,leisure
I was last happy when I watched one of my favorite shows after my kids went to bed. It was thrilling and kept me in suspense. ,leisure
Went to the hardware store to pick up my new toilet.  The people helping me were friendly.,bonding
Making it home for Mother's Day,affection
"One of the senior partners at our firm complimented me on how organized I am for our departmental meetings, and asked me to help her organize her daily schedule as well. ",achievement
I got an A on a presentation.,achievement
Last week my parents came and visited me from out of town and we shared a very nice dinner together. ,affection
"Last week when the weather was really nice, my boyfriend and I spent the day outside doing yard work and getting our black raspberry vines ready to produce fruit.",affection
I got a compliment on a new shirt that I wore out.,enjoy_the_moment
when i share a heart felt moment of joy and laughter with my family and friends.,affection
I was happy that my daughter passed all her classes for winter term as a sophomore in high school. She has learning disabilities and struggles to keep at grade level. She worked really had and did extra time at school to make sure that her report card included all Bs and Cs. ,affection
When I got to my clients house and found out he was in a good mood.,bonding
Put my 9 month old daughter to bed without any fussiness or issues.,affection
I went to the pool and spent a day having fun with my family. It was peaceful and relaxing. I really enjoyed this day away from all of life's worries.,affection
A happy moment was when I got accepted on Amazon mechanical turk because now I can start making money in my free time. ,achievement
"I read an article about the resident evil franchise being rebooted by James Wan, who is a favorite director of mine.",leisure
Finally seeing the Logan movie ,leisure
The red sox won and I watched it with friends at a bar,bonding
Enjoying the quiet in my apartment building while my downstairs neighbors are gone for the week.,enjoy_the_moment
I went to the mall looking for a swimsuit and I found a really flattering one that I love.,achievement
I received a free gift for purchasing a new computer.,achievement
I left my purse at home and my boyfriend came and brought it to me at work.,affection
We had chicken thighs for dinner and they were yummy.,leisure
Went to the pool with the family,affection
"At my condo complex the diabled lady -Maria- across from my unit got a dog trained to help people with diabilities, this occured during early April of 2017",bonding
Getting a project on track,achievement
I finished moving a lot of items into a storage facility.,achievement
This afternoon I was happy playing outside with my kids.,affection
"I GOT MY FIRST SALARY AS RS 3000 I HAVE SPENT RS 3000 TO PURCHASE COSTUMES FOR MY PARENT'S, I FELT SO HAPPY. THAT TIME, ITS A GREAT MONEY FOR ME AND MY PARENTS.",affection
I'm happy that school is out for the year.,achievement
I invested in a new bathroom.,achievement
enjoy with friends,bonding
I visited my immediate family for the first time in 5 months.,affection
I had a nice boba tea run with my friends.,bonding
"I'm a transfer from Kansas City to Boston, so yesterday the Kansas City Royals were playing the San Francisco Giants at 3 in the afternoon so I snuck out of work to watch the game which they ended up winning 7-2.",leisure
A tv show I was watching made me laugh.,enjoy_the_moment
A friend of mine had offered to pay my passport fees to fly to Canada to see someone extremely special to me.,bonding
I got a bonus from my job for my level of performance over the last quarter.,achievement
I bought some flowers for my yards.,achievement
We planned a fishing trip this weekend which has got me very excited.,leisure
Last month I joined a new company and having a great experience and I am happy.,achievement
An old friend got in touch with me and asked if I would like to get coffee in the coming days.,bonding
I finished the school year of homeschooling my children.,achievement
I took the day off and watched my favorite movie in bed.,leisure
I went out dancing with my roommates at a techno rave.,bonding
"When I am getting ready to go to my office, My parents send off with cute smile and say ""Have a nice day and Take care""",affection
"I felt sad because i has forgetten where i keep mu bicycle key. then my mom found out that key then i will get ready to come to the office. Then i really felt happy.
",achievement
I got a new pair of shoes.,achievement
"whenever im with her i felt
complete,yes it may sounds weird but it is true.",affection
I was having a pretty difficult day at work and a guest came up to me and told me what I great job I was doing. ,achievement
LAST MONTH MY SISTER'S MARRIAGE TOOK PLACE IN OUR HOME. SHE WAS MARRED DO ALL FRIEND. IT IS AN IMPORTANT EVENT AND  MEMORABLE DAY IN MY LIFE.,affection
"Just a week a ago, i was contacted by a hiring manger for an interview for a promotional position that i had submitted for more than a month ago. When i received the phone call, a flood of emotions came surging thorough my entire body. Was very excited to say the least.",achievement
I WENT TO MOVIE,leisure
I made some more new friends from a nation-wide conference this last weekend and had a great time with them!,bonding
Watching the new Rick and Morty.,leisure
Having Indian food for lunch.,enjoy_the_moment
I went to a biweekly book club. ,leisure
I bought a new laptop.,achievement
My cat was waiting at the door when I got home and was being adorable.,affection
My daughter graduated from high school early. She had the plan to do so since the 9th grade and she pulled it off. I am very proud ,affection
"I had a phone call with my daughter, and spoke to my granddaughter!",affection
"I spent the morning doing whatever work I wanted, writing.",leisure
"I schedule a public for tomorrow and a lot of people reply and said they could be there, so Im happy that I have To see my friends and enjoy their company all day.",bonding
"I met an old friend last night for a hook up, and it was the first time I had done anything like that in a long time.",bonding
My husband told me I didn't have to cook. He is getting food on the way home from work.,affection
I celebrated my daughter's birthday.,affection
My 6 month old son learned to sit up on his own.,affection
This kind of event makes me everyday happy when i saw someone i like on tv or internet and when i browse my internet i saw them and my kids to greet or kiss or hug me daily this small gesture makes me happy everyday.,affection
I had the apartment to myself and I could walk around and have fun.,leisure
Met another goal I've had as part of my exercise program at the gym.,exercise
BIG.I AM SO MUCH HAPPY IN PAST 3 MONTHS.,enjoy_the_moment
An overnight rain storm cleaned my auto sufficiently well so I didn't have to wash it for another couple of days.,achievement
Sending out an email to a few friends.,bonding
My father really enjoyed a dinner I prepared for him.,affection
yesterday we went to queen bar. we really enjoyed after a long time.,leisure
Yesterday i went to agriculture conferences events meetings and i was very happy to see all farmers use to share information with one another.,enjoy_the_moment
I asked my girlfriend to marry me and she said yes.,affection
I broke being vegan and ate two slices of pizza today.,enjoy_the_moment
My online business has and is still growing steadily so that is a happy news to me.,achievement
Watching my two year old son look at the goldfish in the pond and jump up and down because he was so excited.,affection
I enjoyed an uplifting time of worship at church.,enjoy_the_moment
"The oatmeal that I ate for a breakfast today definitely made me happy, though the feeling was very short lived.",enjoy_the_moment
"My daughter sent me an article entitled ""15 Reasons You Know Your Mom is Your Best Friend"". Knowing that she feels that way meant more to her than she will ever realize. ",affection
I watched the interview of a golfer for the masters.,leisure
I had a wonderful birthday dinner.,enjoy_the_moment
"I completed a very difficult programming test, and received an excellent score.",achievement
My brother-in-law came to visit and we played golf and got drunk.,affection
I caught up with a good friend of mine. ,bonding
I was able to alter my son's high chair to allow extra room for his little chunky thighs. I was worried I would have to buy a brand new one again!,affection
I got to eat a couple slices of cheese pizza after eating vegan for the entirety of last week.,enjoy_the_moment
Going to the movies with my girlfriend.,affection
I played fetch with my dog.,affection
Going out with the friends for some beers and brats ,bonding
I had a nice chat with my son about the alphabets.,affection
"I was getting sick, and my new gentleman friend that I've been seeing cut a rose out of his garden and gave it to me. ",bonding
I woke up in the middle of the night and realizing that I still had another four hours of sleep left before having to get up.,enjoy_the_moment
Yesterday i was going to the office on the way i met a beggar he was asking me for food and i took him to the nearest hotel and helped him to have his food. this made me very happy.,affection
I watched a cute video of a girl mistaking a water heater for a robot.,leisure
I'm making arrangements to fly out to Kansas for a June weekend. It's making me feel more independent and proud of who I have become over the years. Just being able to afford and purchase the ticket fills me up with joy. ,achievement
I watched a particularly compelling episode of a show that I enjoy on Netflix.,leisure
I recently graduated from college.,achievement
I was able to go on a 3 mile walk before work and finish before it started raining.,exercise
"The weather was a nice 80 degrees today, down from 98 degrees yesterday.",nature
"I went shopping and was able to get out of the house a while yesterday. Though it rained, I had a good time because I was careful with my money, didn't spend a lot, still got everything I needed, and had plenty for a nice lunch.",leisure
Shared a video game with a cousin. It was a long time before we were that close.,affection
I had a student write to thank me for my work with her in the last semester.,achievement
I ate lunch outside.,leisure
Watching Futurama on Netflix,leisure
"A friend of mine sent me pictures from his recent wedding, and I was able to reminisce about the fun of that weekend. ",bonding
It finally stopped raining outside and now the sun is shining!  It had been raining for the past 4 days and it was not fun,nature
"A small happy event that made me happy in the past 24 hours is my neighbor bringing in my trashcans for me and saying hello and being nice. I think it made me pretty happy for the rest of the day because I live in a ghetto poor neighborhood and disrespects my property and leaves trash everywhere, and this neighbor being different brought a different vibe to my life. We basically chatted about our jobs and where he came from and it was very interesting. He was former army and now worked as a security guard at the local casino. I warned him about young people doing burnouts with their cars and night. ",bonding
"My parents came to visit me and we went trout fishing out at the lake for two days, we caught some fish, had some laughs and it was very enjoyable.",affection
Spending Christmas vacation with my children and husband. Having family time and going skiing.,affection
Negotiating the pay increase from my promotion.,achievement
Getting chocolates from my spouse as a gift.,affection
"I found a treasure of my home. But it looks very dirty outside the box. When I was brainstorming  to hole my hands because of scaring. Then I had opened that box, it has some gold coins inside the box. I was so excited and I didn't known what could i do afterwards?",achievement
Wrote and submitted an article for a magazine.,achievement
my friends are celebrating my birthday function. that made me happy. they present many gifts to me,bonding
I had famous dim sum with my wife after work for dinner.,affection
"Recently My sister came to India am feel very happy after she came India ,after long days she came India.",affection
My wife brought me lunch at work.,affection
My friend called me,bonding
i make aeroplne with waste plastic,leisure
I worked out for an hour.,exercise
I had dinner with my wife.,affection
"I tried making strawberry cheesecake, and it came out successful in the first try",achievement
I played a good recital for my family and friends.,affection
"Drive to my favorite  destination. Its been a long drive but I enjoyed a lot, because I know am going to my most favorite place.",enjoy_the_moment
I won $500 at a raffle at work,achievement
My family went to Valleyfair amusement park and had a blast!,affection
I made a woman that I like extremely happy.,affection
I got all my work done before the weekend.,achievement
I was able to purchase a Nintendo Switch a product that is in high demand with low stock.,achievement
MY BEST FRIEND MARRIAGE PARTY,bonding
I ate an enjoyable lunch.,enjoy_the_moment
I prepared a nice meal for my girlfriend and she liked it.,achievement
I was able to pay all of our bills online and easily. ,achievement
I was happy when I won the game I was plain on my phone. ,enjoy_the_moment
I won a dollar on an app. ,achievement
I was approved to rent my new apartment.,achievement
"When I went for a run early this morning, everything was quiet and I felt great afterwards.",exercise
I created a batch of beautiful stock photography.,achievement
Yesterday i attended my friends marriage function and i was very happy to see all of my old friends.,bonding
I found a $20 bill on the ground 2 weeks ago. ,achievement
"I got a great deal on a lawn mower, which I was in sore need of as the weather warms and I need to start doing yardwork.",achievement
Last month I got my pay raise at work! I waited over a year for it. ,achievement
I celebrated my mother's birthday with her and my husband by taking them on a tour of the Warner Brothers Studio and having Thai food for dinner.,affection
I got positive feedback from my son's teacher that she really loved the report that I helped him write and which he worked hard on.,affection
I learned how to play a new song on the piano.,achievement
I had my lunch at my favourite restaurant. This made me happy.,enjoy_the_moment
Received a phone call with good news about a work event.,achievement
I WENT TO MOVIE,leisure
I WENT TO MOVIE,leisure
my boyfriend and I watched a crazy episode of Dr Phil.,affection
"Happiness in its broad sense is the label for a family of pleasant emotional states, such as joy, amusement, satisfaction, gratification, euphoria, and triumph.",affection
Visiting dear friends where I used to live.,affection
My son really enjoyed the dinner I made for him.,affection
i had korean food for dinner ( my favorite),leisure
when i got a job in a big company with good salary,achievement
Dancing with my fiance,affection
My boyfriend helped me finish up dinner when I was getting frustrated.,affection
"As a foreigner It could be difficult to make friends, but I ran into a very sweet lady who happened to speak french and we chat. I was so happy.",bonding
I think it's time to be happy again.,enjoy_the_moment
News regarding selection of my son in law as BJP nominee in the election made me happy.,affection
I got a job interview.,achievement
my wife job got permanent ed and they given good increment more than 5000 rupees ,affection
My son is weaned off of his binky & sleeps all night now,affection
I brought my kids to the beach.,affection
"I had a nice walk this afternoon with my wife, son and daughter.",affection
I got to sleep in because a work call got cancelled.,leisure
I found a video game that I had stored away for a long time.  I was happy about this event for the rest of the day.,enjoy_the_moment
I purchased a trailer to put a tiny house on.,achievement
My wife and I watched a series finale of a good show on tv.,affection
I called my mom and we had a nice conversation for an hour.,affection
I had a steak dinner.,enjoy_the_moment
i played casino for first time,leisure
"I had pizza for lunch, I love pizza makes me happy.",enjoy_the_moment
I discovered a new video game to play that I love. ,leisure
I was very happy to receive a Mothers Day card from a very good friend.,bonding
Graduated from nursing school. ,achievement
The result of Bsc. Botany fourth semester exam was published and my wife passed with good marks.,achievement
My dog got stuff from a tree stuck in her fur that made her look like a walrus. ,affection
I woke up early and felt rested. ,enjoy_the_moment
I was able to leave work early.,achievement
"I wanted my friend to go to the store with me so I didn't have to go alone, and they did!",bonding
The work load at work was minimal which made me happy.,enjoy_the_moment
I went out of station for the vacation and enjoyed by seeing the nature.,nature
Today i meet a beautyful partner,bonding
Family Trip to our family god temple with my grandparrents,affection
Making plans with my best friends to get together for Mother's day to replace a very difficult holiday for me.,bonding
"Yesterday, one of my friends made time for me at her work to go and workout with her and then we went over to the nails place near where she worked and sat down for a pedicure. We had done this a year before and swore that we would do it more regularly but haven't. It was awesome to sit there chatting in this chair that gives you a back massage, we caught up on so many things, it was great.",bonding
I enjoyed one more piece of birthday cake. ,enjoy_the_moment
I hit my target weight goal last month.,achievement
It is a summer season and dayas temperature is rising day by day. Kulfi is a frozen dairy desert which is very popular in India and is very much relished in summer. It is prepared from milk. I  prepared a kulfi. And kept in the freezer. When my family members saw the kulfi they were delighted.  There  is a pleasure and satisfaction of preparing food item for a family.,affection
I was on a date with my girlfriend and spent the night at her place.,affection
I received the information I needed early so that I can put together my weekly reports two days early.,achievement
I am very happy when I successfully completes my masters degree,achievement
"While getting my morning coffee at a local coffee shop, I had a nice conversation with a woman I met in line.",bonding
I finished a book that I really enjoyed.,achievement
I played and finished the new Zelda video game. I have been waiting for this game for many years and it exceeded my expectations.,leisure
My closet is still organized after decluttering a couple weeks ago (doing the Konmari thing).,achievement
"in past time i am very happy .why because i am not excepted my husband given sudden surprise,what is that is we are going to other countries for enjoy.",affection
"2 of my coworkers took me out to a nice lunch and ice cream to celebrate ""administrative assistants day"". ",bonding
I won at poker at the local bar. I won $600 and bought a round of drinks for everyone cause I felt so good. I am still happy from this event even this morning. ,achievement
"""I built that palace, and the Emerald City, too,"" remarked the Wizard, in a thoughtful tone, ""and I'd like to see them again, for I was very happy among the Munchkins and Winkies and Quadlings and Gillikins.""She feared seeing them happy again, knowing she really was nothing more than a disposable stand-in until they were able to be together again.


",achievement
when i was released from jail. i was locked up for almost a year. i was o happy i cried.,enjoy_the_moment
MY BEST FRIEND MARRIAGE FUNCTION ,bonding
I WEND TO MOVIE,leisure
MY BROTHER BIRTHDAY CELEBRATED IN MY HOUSE,affection
"On reaching my home on that day, My relatives talk to me and they blessed my brother. They were very proud of my brother. On that time, i felt so blissfull. 
",affection
Yesterday my wife prepared me a very delicious meal and it reminded me of my mothers cooking taste and i was very happy.,affection
I met with my school friends and enjoyed a lot.,bonding
"Earlier today, my girlfriend texted me saying that she missed me so much. It made me feel special and warm and fuzzy inside. ",affection
I was happy to hear that my wifes insurance will cover a large portion of an upcoming procedure. ,enjoy_the_moment
Seeing my dog every morning. He's always greeting me and wanting to be petted/rubbed. ,affection
I was about to afford to buy a new car that I had wanted for a long time.  ,achievement
Yesterday i attended the book launch program and i was very happy to see a writer of this book and finally i bought this book.,enjoy_the_moment
The event that made me happy was when my boyfriend graduated college recently.,affection
I went hiking in a park that I have never been to. ,nature
I got a new pair of shoes I had been wanting to get at the mall.,achievement
My wife gave birth to a baby boy and this made me happy.,affection
I had enough food around the house to make an elaborate breakfast.,enjoy_the_moment
Getting to video chat with my long distance boyfriend.  It's been awhile and it was nice to sit down and talk.,affection
"I had been working on a blog and affiliate online business for 4 months, and i finally finished it, which made me very happy because i often start big projects and loose interest somewhere towards the end or i simply get excited by something else.",achievement
I achieved my goal of completing a project.,achievement
"We introduced our baby daughter to solid food, and she did very well. She anticipated the next spoonful each time we offered her one.",affection
Wife has gone to a vacation trip and I am home alone. I can do anything for few days. I am feeling immense amount of freedom. Its time for a party and leisure time.,leisure
I made enough money Turking to buy a few items I had been wanting for months.,achievement
I got to ride a motorcycle again for the first time in a long time.,leisure
"Yesterday, I weighed myself and lost 3 lbs.",achievement
BOUGHT A NEW SHOWS AND SOCKS FOR MY CHILD,affection
Talked to a new girl on social media,bonding
My dog behaved well on her walk. ,affection
I met up with a few friends for beers and food until late at night. Since graduating college this hasn't been that common of an occurrence so it was a really nice time.,bonding
I was running late for work and I got very fortunate to have perfect traffic and no red lights on the way so I was able to make it on time.,achievement
We booked a room for a weekend in a fun city,leisure
Presenting my research at a research conference at my university. ,achievement
"I was able to sleep for more than six hours last night, which is great for a work night for me!",achievement
I was happy not to have to cook dinner. ,enjoy_the_moment
My son made me a beautiful painting.,affection
I had a great dinner of steak and potatoes ,enjoy_the_moment
"It's never about the place. It's about the people you spend time with. I have never been much happier. Whenever I went to Tirupati and was traveling back to Bangalore, I felt like I had failed my most important exam, maybe I was missing a train. I cried like a small baby every time I left that place. This time it was different, this time I was happy. I was myself, my true self. Peace!",enjoy_the_moment
I finished all of the errands that I had to run and crossed ~5 things off of my to-do list.,achievement
When i share a heart felt moment of joy and laughter with my family and friends.,affection
Last night my brother gift me gold chain on my birthday occasion its happiest event for me.,affection
My sweet nephew gave me the sweetest hug and it melted my heart.,affection
"Me and my spouse spent the entire day together, laying around and enjoying each others company. We are both pretty busy during the days, and it was very nice that we both had all day to eachother. ",affection
Talked to my boss about getting a promotion and it sounds promising.,achievement
an event that made me happy in the past 3 months was cooking some really good food on my charcoal grill and having everyone enjoy it.,enjoy_the_moment
"Something that made me happy in the past 24 hours was when I got home last night, my boyfriend had swept and mopped the floor in the kitchen and the hall, washed all the dishes and had dinner cooking so I could come home and relax after my stressful day.",enjoy_the_moment
I got in bed early which means I would get a lot of sleep.,leisure
"My daughter started walking, and has gotten much better in the past few days.",affection
"When somebody compliments me sincerely on my work, I felt proud and successful.",achievement
My best friend loaned use money to help us get caught back up with our bills since unexpected things had us getting a little behind.,bonding
"Went to a tennis course, I was pretty worried about going at first, but it was actually fun.",leisure
"I SAW MY CLASSMATE, I AM  PURCHASE A CAR,MY DAUGHTER WIN IN EXAM",achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,",achievement
Skating is an additional event I did that made me happy in the past 24 hours. ,leisure
My happy moment was when the game I made was finished because it was the first project in a long time that I wanted to do myself rather than doing what I thought I had to.,achievement
"I decided to take a big step in my life and join my friend in Rodan + Fields skin care. I am beyond nervous, but very happy I can start making positive changes in my life.",bonding
I got the news of my promotion to a higher post.,achievement
booking our room for vacation. ,leisure
I ate pizza from a new place.,leisure
passing my finals has also made me very happy,achievement
"I eat my favorite hamburger for dinner last night , a homemade blue cheese burger.",enjoy_the_moment
"I predicted football matches and I bet with $200. Luckily for me, all what I predicted was successful and I won $11,520. This was my happiest moment in the past 2 months.",achievement
I CELEBRATED MY PARENTS WEDDDING ANNIVERSARY ON 2/3/2017,affection
"Last night, I got a great night sleep, and woke up feeling even more refreshed than I did Saturday.",enjoy_the_moment
The Oregon Ducks advanced to the final four in the college basketball tournament.,achievement
"Relatives came to my house today, so I was so happy",affection
Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,achievement
"I made a roti and served it to mother.

She made 3 parts of it, one for my sister, one for my father and one for herself.

They all had their parts and I was observing them with suspense about comments.

Sister chuckled, Your wife is lucky, you can feed her deliciously.

Father giggled, Your Gf must have said you to learn cooking this morning.

Mother was little emotional, she said, My son has grown up. Roti is sweet!

She was happy. Everyone was happy.

It made me happy.",affection
My son born and I got an excitement of foreign tour,affection
"This morning my mom called and we talked for about an hour. We always talk about what is going on in each other's lives, and we joke and laugh hysterically the whole time.",affection
"Two months and five days ago, a fellow author notified me that I'd made the list of the Top 200 Most Influential Authors 2017--I was listed as number 98!",achievement
I picked up a puppy about two months ago. It is a breed that is hard to find in New York state. Pembroke Welsh Corgis,achievement
Saw a friend I hadn't seen in over a year. We talked for hours and hours just catching up and we played some video games. Our girlfriends also caught up on lost time.,bonding
"i went to the pet store. As soon as i got there, i saw the most adorable puppies. They all came and jumped on me.",affection
I played with my dog.,affection
I had a good workout.,exercise
Earlier today I saw two of the family cats grooming each other and I was able to catch it on video. It was great because these cats don't always get along.,affection
I had a good conversation with my coworker. ,bonding
Somebody at work complimented me on my hair cut. ,achievement
I have recently started driving after years of being afraid of the road. I have learned that my fear was all for nothing and that I am actually quite good at it.,achievement
My brother finally graduated and found a job.,achievement
"My 20-year-old cat curled up on my lap this evening and went to sleep, after first meowing to get me to come and sit down so she could cuddle.",affection
I won at putt putt with some friends today!,bonding
I WENT TO BROWSING CENTER,leisure
I bought a new Fuel EX-8 mountain bike.,achievement
Easter. My daughter was so excited that she got her bike and everything else that she had wanted.,affection
When I saw my sister graduate it was a great feeling to see achieve so much. ,achievement
Bought a flight to Europe!,achievement
Today morning i had fight with my boy friend who is much care with me and the reason of the fight is very chilly but i love to fight with him and i ever like to put fight to him .the reason were very simple but the way of his speech were irritate me so that i were fight to him .but he were really hurt by my words but i had enjoyed very well .i had fun with him but i really miss him .he were think i were in angry but still i am enjoying the fight to him .today morning is really interesting to me and the fight of my love is excited the day .today evening surely he will come and meet me but i still continue the same reaction and i will enjoyed it well .this fight i never forget in my life time .,affection
My friend paid for my lunch.,bonding
yesterday i went to shopping with my family members and buying lot of toys for my son....,affection
My 6 year olds cheerleading team won their division in yesterdays competition.,achievement
"I had a deep talk with my girlfriend about us, and it turned out pretty well. ",affection
I got to schedule some upcoming things without any trouble.,achievement
"My daughter and I went to see ""Beauty and the Beast"" together.  Going to the movies, just her and I, is something we haven't done in a really long time.  ",affection
My girlfriend made and gave me an Easter basket on Easter this year.,affection
I went to see my brother who lived out of state.,affection
I made a new dish for dinner.,achievement
Yesterday was my birthday and sually I am not honored or get more than a general happy birthday from my family and friends.  But my boyfriend stayed up until one minute after midnight the night before just so he could say he was the first to wish me a happy birthday.  ,affection
I WENT TO MOVIE,leisure
I earned a lot of money in sports betting,achievement
I received a promotion at work after working hard for years & seeing others advance over me.,achievement
Finishing my last exam of the semester and leaving the classroom.,achievement
We planned to go to tour on summer vocation. My father showed me a buying tickets. I was surprised.,affection
When my son walked first I fell very happy for one hour and talked about that with spouse for a long time.,affection
I finished a project at work.,achievement
I ate lunch with an old friend I hadn't seen in a while. ,bonding
I heard from my best friend that she's going to come and visit me for my birthday later this week.,bonding
I went out shopping.,leisure
My tire was fixed with a can of fix-a-flat rather than going to a tire repair service,achievement
I passed a test I studied hard for.,achievement
My 9 month old daughter had her first tooth come in without any fussiness or fever.,affection
for my wife's 30th b-day I rented a bounce house. We had it the whole weekend. It was so fun to have drinks and then jump in a bounce house. It was a fun weekend. It made me happy.,affection
"When I climbed out of my morning shower, I had a fresh clean towel waiting for me.",enjoy_the_moment
I just watched the entire match between nick Kyrgios and Alex Zverev and what a rollercoaster it was. Kyrgios finally managed to win it on his 6th match point and I was already on my feet by then.,leisure
When my dog layed with me in bed,affection
My wife learned how to make really good egg foo young from a recipe she got from a co-worker. Delicious!,achievement
"around two months back, my sister got engaged to her long time boyfriend of 6 years. they are ready to tie the knot this September and the whole family was happy when she announced the news. ",affection
"Eating, drinking and playing 'Cards Against Humanity' with my coworkers/friends after work.",bonding
Watching our two girl dogs run in the fenced in area of the yard playing until they wore themselves out.,affection
I was able to purchase some accessories that I needed for a good price. ,achievement
"I ran into an old friend at the gym, that I hadn't seen in about five years.",bonding
I finished working on my cousins vehicle and got it fixed!,achievement
next we went to hills area.very very cold climate and very joyful.we watched city and other area with telescope.,nature
I was facing a severe financial crunch which many didn't know about & I needed to book some train tickets. My mother somehow just out of the blue went ahead and booked my tickets as she also wanted to travel along with us.,affection
"Yesterday evening I received a call from unknown number. He asked me to recognize him, but I could not. He told me that he is my school days friend, Madan. I asked how he get my contact number. He told that he went to our native place and take my number from younger brother. We refreshed our old early days of our life, which make me happy.
""REFRESHING THE OLD MEMORIES"".",bonding
"In March I took part in the Ides of March postcard campaign to let President know how I think he is handling the responsibilities of office; I felt my voice was being heard, and that I was able to do something that matters.",achievement
